Source	Scale	Class	Precision	Recall_Sensitivity	Specificity	F1	Support
GOLD	local_scale	ENVO:01001292	0.0	0.0	0.9928486293206198	0.0	1
GOLD	local_scale	ENVO:01001357	1.0	1.0	1.0	1.0	1
GOLD	local_scale	ENVO:01001491	0.0	0.0	0.997610513739546	0.0	3
GOLD	local_scale	ENVO:01001520	1.0	0.6666666666666666	1.0	0.8	3
GOLD	local_scale	ENVO:01001532	1.0	1.0	1.0	1.0	2
GOLD	local_scale	ENVO:01001581	0.8636363636363636	1.0	0.9963459196102314	0.926829268292683	19
GOLD	local_scale	ENVO:01001785	0.7142857142857143	0.38461538461538464	0.9975816203143894	0.5	13
GOLD	local_scale	ENVO:01001870	1.0	1.0	1.0	1.0	1
GOLD	local_scale	ENVO:01001886	1.0	0.8	1.0	0.8888888888888888	5
GOLD	local_scale	ENVO:02000049	0.5454545454545454	0.6	0.9939759036144579	0.5714285714285714	10
GOLD	local_scale	ENVO:03600063	0.5	1.0	0.99880810488677	0.6666666666666666	1
GOLD	local_scale	ENVO:04000010	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:06105011	0.0	0.0	0.9988095238095238	0.0	0
GOLD	medium	ENVO:00000134	0.0	0.0	0.9988095238095238	0.0	0
GOLD	medium	ENVO:00000546	0.7333333333333333	0.55	0.9951219512195122	0.6285714285714286	20
GOLD	medium	ENVO:00001995	0.0	0.0	1.0	0.0	1
GOLD	medium	ENVO:00001998	0.8366533864541833	0.7720588235294118	0.9278169014084507	0.8030592734225621	272
GOLD	medium	ENVO:00002007	0.5641025641025641	0.3283582089552239	0.9780077619663649	0.41509433962264153	67
GOLD	medium	ENVO:00002008	0.5	0.3333333333333333	0.998805256869773	0.4	3
GOLD	medium	ENVO:00002010	1.0	1.0	1.0	1.0	1
GOLD	medium	ENVO:00002011	0.9444444444444444	0.85	0.998780487804878	0.8947368421052632	20
GOLD	medium	ENVO:00002019	0.0	0.0	1.0	0.0	1
GOLD	medium	ENVO:00002042	0.26666666666666666	0.21052631578947367	0.9866017052375152	0.23529411764705882	19
GOLD	medium	ENVO:00002116	1.0	0.25	1.0	0.4	4
GOLD	medium	ENVO:00002149	0.8518518518518519	0.9583333333333334	0.9950980392156863	0.9019607843137255	24
GOLD	medium	ENVO:00002150	1.0	1.0	1.0	1.0	28
GOLD	medium	ENVO:00002228	1.0	1.0	1.0	1.0	4
GOLD	medium	ENVO:00002243	0.0	0.0	1.0	0.0	1
GOLD	medium	ENVO:00002258	0.0	0.0	1.0	0.0	2
GOLD	medium	ENVO:00002259	0.2	0.06666666666666667	0.9901234567901235	0.1	30
GOLD	medium	ENVO:00002261	0.75	0.5294117647058824	0.9963547995139733	0.6206896551724138	17
GOLD	medium	ENVO:00002262	0.0	0.0	0.9964285714285714	0.0	0
GOLD	medium	ENVO:00002263	1.0	1.0	1.0	1.0	1
GOLD	medium	ENVO:00002871	0.0	0.0	0.9988095238095238	0.0	0
GOLD	medium	ENVO:00002875	0.2	1.0	0.9952324195470799	0.3333333333333333	1
GOLD	medium	ENVO:00003044	1.0	1.0	1.0	1.0	3
GOLD	medium	ENVO:00005741	0.0	0.0	1.0	0.0	1
GOLD	medium	ENVO:00005743	1.0	1.0	1.0	1.0	2
GOLD	medium	ENVO:00005749	0.75	1.0	0.998805256869773	0.8571428571428571	3
GOLD	medium	ENVO:00005750	0.46875	0.9375	0.9793689320388349	0.625	16
GOLD	medium	ENVO:00005754	0.5	1.0	0.99880810488677	0.6666666666666666	1
GOLD	medium	ENVO:00005755	0.6	1.0	0.997610513739546	0.75	3
GOLD	medium	ENVO:00005760	0.75	1.0	0.998805256869773	0.8571428571428571	3
GOLD	medium	ENVO:00005761	0.0	0.0	0.9976190476190476	0.0	0
GOLD	medium	ENVO:00005773	1.0	1.0	1.0	1.0	5
GOLD	medium	ENVO:00005774	0.9	1.0	0.9975669099756691	0.9473684210526315	18
GOLD	medium	ENVO:00005780	0.0	0.0	1.0	0.0	1
GOLD	medium	ENVO:00005781	0.0	0.0	0.9976133651551312	0.0	2
GOLD	medium	ENVO:00005787	0.0	0.0	1.0	0.0	2
GOLD	medium	ENVO:00005791	1.0	1.0	1.0	1.0	1
GOLD	medium	ENVO:00005792	1.0	1.0	1.0	1.0	2
GOLD	medium	ENVO:00005801	0.0	0.0	0.9988066825775657	0.0	2
GOLD	medium	ENVO:00005802	0.38461538461538464	0.625	0.9903846153846154	0.47619047619047616	8
GOLD	medium	ENVO:01000017	1.0	1.0	1.0	1.0	6
GOLD	medium	ENVO:01000134	1.0	1.0	1.0	1.0	1
GOLD	medium	ENVO:01000156	0.0	0.0	0.9988066825775657	0.0	2
GOLD	medium	ENVO:01000157	0.5	0.6666666666666666	0.997610513739546	0.5714285714285714	3
GOLD	medium	ENVO:01000231	0.0	0.0	1.0	0.0	1
GOLD	medium	ENVO:01000301	0.8	1.0	0.9988038277511961	0.8888888888888888	4
GOLD	medium	ENVO:01000349	0.1864406779661017	0.6470588235294118	0.9416767922235723	0.2894736842105263	17
GOLD	medium	ENVO:01000358	0.0	0.0	0.9976190476190476	0.0	0
GOLD	medium	ENVO:01000599	0.8596491228070176	0.8909090909090909	0.9898089171974522	0.875	55
GOLD	medium	ENVO:01000628	0.5714285714285714	0.5714285714285714	0.9963985594237695	0.5714285714285714	7
GOLD	medium	ENVO:01000910	0.0	0.0	0.9988095238095238	0.0	0
GOLD	medium	ENVO:01001004	0.25	0.3333333333333333	0.996415770609319	0.2857142857142857	3
