parent_term,count,label
ENVO:00000134,271,permafrost
ENVO:00002170,271,compost
ENVO:00010505,269,aerosol
ENVO:00003064,263,drinking water
ENVO:00000107,261,heath
ENVO:03000133,260,agricultural potting mixture
ENVO:00000106,260,grassland area
ENVO:01000406,258,snow
ENVO:00005797,254,lake bottom mud
ENVO:01001673,247,fluid surface layer
ENVO:01001677,247,fluid interface layer
ENVO:01001191,247,water surface
ENVO:01001310,247,liquid surface layer
ENVO:00000130,246,rocky reef
ENVO:03500005,245,anthropogenic litter
ENVO:00000176,245,elevated landform
ENVO:01000757,243,obsolete fruit
ENVO:00000477,240,mount
ENVO:03000071,235,first year ice
ENVO:01000579,231,television set
ENVO:01000403,228,tropical mangrove
ENVO:00000534,227,riverine pothole
ENVO:02500027,227,anthropogenic environmental process
ENVO:01001269,218,area of developed space
ENVO:01000886,218,area of developed space with high usage intensity
ENVO:00005803,218,animal habitation
ENVO:00000475,215,inlet
ENVO:00000137,215,coastal inlet
ENVO:00010622,210,vivarium
ENVO:03000048,208,thaw hole
ENVO:03000039,208,cryoconite hole
ENVO:03000117,208,channel
ENVO:01001818,205,enrichment culturing unit
ENVO:00005741,204,alpine soil
ENVO:01000348,192,maize field
ENVO:01001185,192,acidic soil
ENVO:00003030,190,silage
ENVO:01001028,188,sediment permeated by freshwater
ENVO:00000223,182,continental shelf
ENVO:00000044,175,peatland
ENVO:01000162,172,organ
ENVO:01000157,170,microbial mat material
ENVO:01000164,170,root nodule
ENVO:01000158,170,marine snow
ENVO:00000149,169,artificial reef
ENVO:00000081,168,mountain
ENVO:00002209,167,saline lake sediment
ENVO:01001792,165,tropical broadleaf forest
ENVO:00000383,164,stream bed
ENVO:01000480,162,glass
ENVO:00002033,160,carcass
ENVO:00002138,159,beach sand
ENVO:01000134,158,hydrothermal fluid
ENVO:00002191,158,animal litter
ENVO:00000091,156,beach
ENVO:01000621,154,microcosm
ENVO:00009003,154,obsolete human-associated habitat
ENVO:00002871,153,alluvial soil
ENVO:00000469,152,research facility
ENVO:01001406,152,laboratory facility
ENVO:00002125,150,anaerobic dechlorinating bioreactor
ENVO:03501288,149,facility
ENVO:00001996,149,mine drainage
ENVO:00000296,144,rice field
ENVO:00000108,143,meadow ecosystem
ENVO:01000016,142,silt
OBI:0000011,141,planned process
ENVO:01001192,141,sediment surface
ENVO:00002268,140,sphagnum bog
ENVO:00002225,139,mesotrophic water
ENVO:01001391,138,gill tissue material
ENVO:01001789,138,freshwater ecosystem
ENVO:00000873,138,freshwater biome
ENVO:00005786,137,upland soil
ENVO:03600007,137,formation fluid
PCO:0000031,134,organismal entity
ENVO:06105012,134,biota
PCO:0000000,134,collection of organisms
ENVO:00000384,133,river bed
ENVO:00003082,131,enriched soil
ENVO:01001687,128,mass of solid material
ENVO:00000032,128,bay
ENVO:00000316,128,intertidal zone
ENVO:00000261,127,savanna
ENVO:00000304,126,shore
ENVO:01001436,126,planned environmental usage process
ENVO:00002192,126,poultry litter
ENVO:00005800,124,desert sand
ENVO:01000119,120,silty sediment
ENVO:00000485,120,sea shore
ENVO:04000008,120,soil organic matter
ENVO:00005791,117,sterile water
ENVO:01000267,116,atmosphere
ENVO:00000067,113,cave
ENVO:00003968,110,air filter
ENVO:00002985,109,oil
ENVO:01000428,109,area of rocky shore
ENVO:03501134,108,healthcare facility
ENVO:00002173,108,hospital
ENVO:00002873,108,organic waste material
ENVO:01001446,106,usage of an environment for residential activity
ENVO:01000891,105,area of pastureland or hayfields
ENVO:01000888,105,area of gramanoid or herbaceous vegetation
ENVO:01000177,103,grassland biome
ENVO:01001246,101,agricultural process
ENVO:00000104,99,undersea feature
ENVO:01000048,99,ocean biome
ENVO:00000057,99,mangrove swamp
ENVO:00003869,98,straw
ENVO:00000045,97,estuary
ENVO:00002984,97,petroleum
ENVO:01001704,97,subpolar environment
ENVO:01001834,97,subpolar biome
ENVO:01000256,96,mineral material
ENVO:01003002,95,particle
ENVO:00002249,95,phaeozem
ENVO:01000130,94,marine hydrothermal plume
ENVO:01000649,93,trench
ENVO:00000275,93,ocean trench
ENVO:01000221,92,temperate woodland biome
ENVO:01001800,92,tropical moist broadleaf forest
ENVO:01000200,92,tropical broadleaf forest biome
ENVO:01000197,92,broadleaf forest biome
ENVO:01000228,92,tropical moist broadleaf forest biome
ENVO:00002258,91,loam
ENVO:00003031,91,animal manure
ENVO:03600030,91,soil horizon
ENVO:03600017,88,slurry
ENVO:01000122,87,marine hydrothermal vent
ENVO:01000548,87,eutrophic lake
ENVO:01000058,86,kelp forest
ENVO:00000218,86,black smoker
ENVO:00002045,84,anaerobic sediment
PATO:0001018,83,physical quality
BFO:0000019,83,quality
PATO:0001241,83,physical object quality
PATO:0000001,83,quality
ENVO:00003096,82,tap water
ENVO:00005783,81,leafy wood soil
ENVO:01000910,81,soil biocrust
ENVO:01001819,80,cell culturing unit
ENVO:00000141,80,bank
ENVO:00000393,79,sound
ENVO:00010621,79,medical instrument
ENVO:06105013,79,marine biota
ENVO:01000203,78,environmental condition
ENVO:00005771,78,muddy soil
ENVO:00002152,78,biofilter
ENVO:01000508,78,salt material
ENVO:01000681,78,sodium chloride salt
ENVO:03605004,77,epipsammon
ENVO:00000143,76,river bank
ENVO:00000142,76,stream bank
ENVO:03600011,76,mineral horizon
ENVO:03600040,74,fermentation starter
ENVO:03600092,74,artificial pond
ENVO:01000297,73,freshwater river
ENVO:01000385,73,temperate deciduous broadleaf forest
ENVO:03600045,72,plant pot
ENVO:00002276,72,animal waste material
ENVO:02000049,72,coastal water body
ENVO:01000355,71,vegetation layer
ENVO:00002059,66,biosolids
ENVO:01000514,64,tile
ENVO:00002118,64,sea sand
ENVO:01000975,63,animal trap
ENVO:01000625,63,manufactured cage
ENVO:00002239,62,calcisol
ENVO:03000010,62,material transport process
ENVO:00002237,60,chernozem
ENVO:00002016,60,sedimentary rock
ENVO:01000252,60,freshwater lake biome
ENVO:01000181,59,mangrove biome
ENVO:06105274,59,sandy loam
ENVO:00002144,58,cave wall
ENVO:00002263,58,garden soil
ENVO:00000121,58,artificial channel
ENVO:00000395,58,channel of a watercourse
ENVO:00002157,57,stromatolite mat
ENVO:00000208,57,marine pelagic zone
ENVO:01001189,56,algal material
ENVO:01000620,56,mesocosm
ENVO:00002116,56,contaminated soil
ENVO:00002047,56,urine material
ENVO:01001060,55,single strain cell culture
ENVO:00003065,54,distilled water
ENVO:06105268,54,treated wastewater
ENVO:01000204,52,tropical
ENVO:01000311,51,cultivated environment
ENVO:01000161,49,marine sponge reef
ENVO:00000083,48,hill
ENVO:01000253,48,freshwater river biome
ENVO:01001781,47,part of a landmass
ENVO:00000305,47,peninsula
ENVO:06105106,46,plastisphere
ENVO:01001059,46,mock community culture
ENVO:00000014,46,canal
ENVO:01000118,45,sandy sediment
ENVO:01000335,44,understory
ENVO:01000420,44,building part
ENVO:01000924,43,plumbing drain
ENVO:02000031,43,breast milk material
ENVO:01000306,43,freshwater environment
ENVO:01001055,41,environment associated with an animal part or small animal
ENVO:00012408,41,aquifer
ENVO:00000010,41,transport feature
ENVO:00000026,41,well
ENVO:00005777,40,steppe soil
ENVO:00005795,40,marine mud
ENVO:03600074,40,aquaculture farm
ENVO:01001743,40,plume
ENVO:03600086,40,water filter
ENVO:00000297,39,paddy field
ENVO:06105023,38,biofouling
ENVO:06105022,38,fouling
ENVO:03000009,38,material accumulation process
ENVO:03501219,38,window
ENVO:01000000,38,humus
ENVO:00000064,36,road
ENVO:01001272,36,constructed pavement
ENVO:00009001,36,obsolete plant-associated habitat
ENVO:01001829,36,human settlement
ENVO:01000658,36,dense settlement
ENVO:00000533,36,landfill
ENVO:02000072,36,obsolete mushroom
ENVO:00001997,35,acid mine drainage
ENVO:03501293,35,tote bag
ENVO:01000249,35,urban biome
ENVO:01000248,35,dense settlement biome
ENVO:00005760,34,burned soil
ENVO:2000004,33,algal bloom
ENVO:02000091,32,coal
ENVO:01001616,32,bare soil
ENVO:01001646,32,amorphous solid
ENVO:01000415,32,fine respirable suspended particulate matter
ENVO:01000405,32,respirable suspended particulate matter
ENVO:01001089,32,aerosolised solids
ENVO:03600006,32,food waste
ENVO:01000690,31,mass wasting
ENVO:01000703,31,hydrological precipitation process
ENVO:01000696,31,mass wasting flow
ENVO:00000133,31,glacier
ENVO:01000875,31,precipitation process
ENVO:01001268,30,urban stormwater
ENVO:01001267,30,stormwater
ENVO:01001871,30,pit
ENVO:01000639,29,planetary structural layer
ENVO:03501254,28,water tank
ENVO:01000470,28,building envelope
ENVO:2000011,28,anthracite
ENVO:00000260,27,prairie
ENVO:01001873,27,hatchery
ENVO:01000338,27,litter layer
ENVO:00002126,26,aerobic bioreactor
ENVO:00000189,26,peat swamp
BFO:0000034,26,function
ENVO:01001222,26,commercial building
ENVO:01000263,26,cold seep
ENVO:01000262,26,seep
ENVO:00003076,26,glue
ENVO:01000604,26,vehicle
ENVO:03600009,26,interstitial water
